method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,0,AUUC_cr_V1,302.1076094481109,562.4999999975107,308.91264035969016
RAND,0,AUUC_cr_V2,302.107609448125,562.4999999975116,308.9126403596929
RAND,0,AUUC_cr_V1V2(0.5),302.1076094481177,562.4999999975098,308.91264035968925
Oracle,0,AUUC_cr_V1,663.7076288454363,893.7499999962065,582.7103867444439
Oracle,0,AUUC_cr_V2,990.7415433007518,893.7499999962,916.0721036702719
Oracle,0,AUUC_cr_V1V2(0.5),827.2245860730974,893.7499999962038,749.3912452073546
NO0.1,0,AUUC_cr_V1,665.4962667630493,891.2499999957952,580.105080360376
NO0.1,0,AUUC_cr_V2,998.9401084205585,891.2499999957887,960.0360449833377
NO0.1,0,AUUC_cr_V1V2(0.5),832.2181875918072,891.2499999957927,770.070562671854
NO0.5,0,AUUC_cr_V1,600.0134515339167,851.2499999980492,572.4659638187103
NO0.5,0,AUUC_cr_V2,1007.0312718591489,851.2499999980407,958.3497671099592
NO0.5,0,AUUC_cr_V1V2(0.5),803.5223616965367,851.2499999980466,765.4078654643314
NO1.0,0,AUUC_cr_V1,563.6064392437917,806.2499999970767,533.5871893201967
NO1.0,0,AUUC_cr_V2,942.0906315086384,806.2499999970694,946.4078092105834
NO1.0,0,AUUC_cr_V1V2(0.5),752.8485353762188,806.2499999970746,739.9974992653887
NO2.0,0,AUUC_cr_V1,490.56375268545486,768.7499999981037,506.3922507190177
NO2.0,0,AUUC_cr_V2,854.5364686452065,768.7499999980953,824.6071943110218
NO2.0,0,AUUC_cr_V1V2(0.5),672.5501106653352,768.7499999981012,665.4997225150196
RAND,1,AUUC_cr_V1,361.1729362930778,562.4999999974225,308.91264035969016
RAND,1,AUUC_cr_V2,361.17293629308915,562.4999999974207,308.9126403596929
RAND,1,AUUC_cr_V1V2(0.5),361.1729362930837,562.4999999974189,308.91264035968925
Oracle,1,AUUC_cr_V1,665.9464507467784,893.7499999962475,582.7103867444439
Oracle,1,AUUC_cr_V2,1045.9076063672258,893.7499999962504,916.0721036702719
Oracle,1,AUUC_cr_V1V2(0.5),855.9270285569927,893.749999996241,749.3912452073546
NO0.1,1,AUUC_cr_V1,665.9464507467784,893.7499999962475,582.7103867444439
NO0.1,1,AUUC_cr_V2,1045.9076063672258,893.7499999962504,916.0721036702719
NO0.1,1,AUUC_cr_V1V2(0.5),855.9270285569927,893.749999996241,749.3912452073546
NO0.5,1,AUUC_cr_V1,625.8021702722059,871.2499999966183,576.5392750937826
NO0.5,1,AUUC_cr_V2,907.026954172269,871.2499999966223,787.1221363602126
NO0.5,1,AUUC_cr_V1V2(0.5),766.4145622222279,871.2499999966134,681.8307057269957
NO1.0,1,AUUC_cr_V1,551.9202716130388,801.2499999982685,552.1123419452097
NO1.0,1,AUUC_cr_V2,907.7570768131403,801.2499999982724,704.5195398623417
NO1.0,1,AUUC_cr_V1V2(0.5),729.8386742130816,801.249999998264,628.3159409037731
NO2.0,1,AUUC_cr_V1,509.8957099564677,768.7499999982562,520.1413222263246
NO2.0,1,AUUC_cr_V2,744.8641670505594,768.7499999982607,549.9300175828706
NO2.0,1,AUUC_cr_V1V2(0.5),627.3799385035059,768.7499999982523,535.035669904597
RAND,2,AUUC_cr_V1,340.31303824036104,562.4999999974734,308.91264035969016
RAND,2,AUUC_cr_V2,340.31303824033967,562.4999999974825,308.9126403596929
RAND,2,AUUC_cr_V1V2(0.5),340.3130382403506,562.499999997468,308.91264035968925
Oracle,2,AUUC_cr_V1,524.1426875104731,893.7499999961975,582.7103867444439
Oracle,2,AUUC_cr_V2,1010.7348204699825,893.7499999962055,916.0721036702719
Oracle,2,AUUC_cr_V1V2(0.5),767.438753990231,893.7499999961993,749.3912452073546
NO0.1,2,AUUC_cr_V1,502.77837017592543,886.2499999951453,565.9491191172048
NO0.1,2,AUUC_cr_V2,975.4554770740517,886.2499999951527,957.1389556781637
NO0.1,2,AUUC_cr_V1V2(0.5),739.116923624992,886.2499999951474,761.5440373976822
NO0.5,2,AUUC_cr_V1,445.594493385907,846.2499999949475,522.8047995081686
NO0.5,2,AUUC_cr_V2,825.6383479329919,846.2499999949555,863.6766660619343
NO0.5,2,AUUC_cr_V1V2(0.5),635.6164206594532,846.2499999949487,693.2407327850503
NO1.0,2,AUUC_cr_V1,424.8642316094049,818.7499999937456,488.53148612420017
NO1.0,2,AUUC_cr_V2,660.1559111024433,818.7499999937536,755.7726258048712
NO1.0,2,AUUC_cr_V1V2(0.5),542.5100713559277,818.7499999937463,622.1520559645365
NO2.0,2,AUUC_cr_V1,394.0468456508003,738.749999993418,418.6499292378927
NO2.0,2,AUUC_cr_V2,417.55180088954364,738.7499999934247,582.8002538914257
NO2.0,2,AUUC_cr_V1V2(0.5),405.7993232701754,738.7499999934179,500.7250915646629
RAND,3,AUUC_cr_V1,130.4165337690397,562.4999999973652,308.91264035969016
RAND,3,AUUC_cr_V2,130.4165337690174,562.4999999973697,308.9126403596929
RAND,3,AUUC_cr_V1V2(0.5),130.41653376904105,562.4999999973697,308.91264035968925
Oracle,3,AUUC_cr_V1,422.33896744418877,893.7499999960005,582.7103867444439
Oracle,3,AUUC_cr_V2,741.4179186655565,893.7499999959983,916.0721036702719
Oracle,3,AUUC_cr_V1V2(0.5),581.8784430548824,893.7499999960046,749.3912452073546
NO0.1,3,AUUC_cr_V1,422.33896744418877,893.7499999960005,582.7103867444439
NO0.1,3,AUUC_cr_V2,741.4179186655565,893.7499999959983,916.0721036702719
NO0.1,3,AUUC_cr_V1V2(0.5),581.8784430548824,893.7499999960046,749.3912452073546
NO0.5,3,AUUC_cr_V1,439.8013210846764,886.2499999968848,587.6672526721634
NO0.5,3,AUUC_cr_V2,670.6614277565216,886.2499999968823,894.6644948515442
NO0.5,3,AUUC_cr_V1V2(0.5),555.2313744206085,886.2499999968885,741.165873761851
NO1.0,3,AUUC_cr_V1,452.312070508662,851.2499999965071,565.8298766914917
NO1.0,3,AUUC_cr_V2,503.1578139780938,851.2499999965038,814.2407677684996
NO1.0,3,AUUC_cr_V1V2(0.5),477.734942243388,851.2499999965117,690.0353222299935
NO2.0,3,AUUC_cr_V1,417.74251983530297,836.2499999954844,542.4396745664454
NO2.0,3,AUUC_cr_V2,557.6860598796624,836.2499999954815,853.3631181652496
NO2.0,3,AUUC_cr_V1V2(0.5),487.714289857492,836.2499999954898,697.9013963658458
RAND,4,AUUC_cr_V1,159.46134491075736,562.4999999975148,308.91264035969016
RAND,4,AUUC_cr_V2,159.46134491073826,562.4999999975153,308.9126403596929
RAND,4,AUUC_cr_V1V2(0.5),159.46134491074372,562.4999999975134,308.91264035968925
Oracle,4,AUUC_cr_V1,488.95576788047055,893.7499999962135,582.7103867444439
Oracle,4,AUUC_cr_V2,943.916496993273,893.7499999962095,916.0721036702719
Oracle,4,AUUC_cr_V1V2(0.5),716.4361324368718,893.7499999962101,749.3912452073546
NO0.1,4,AUUC_cr_V1,488.95576788047055,893.7499999962135,582.7103867444439
NO0.1,4,AUUC_cr_V2,943.916496993273,893.7499999962095,916.0721036702719
NO0.1,4,AUUC_cr_V1V2(0.5),716.4361324368718,893.7499999962101,749.3912452073546
NO0.5,4,AUUC_cr_V1,456.2481686951708,853.7499999959903,543.5094201638271
NO0.5,4,AUUC_cr_V2,834.2057783220798,853.7499999959869,850.1995136539327
NO0.5,4,AUUC_cr_V1V2(0.5),645.2269735086242,853.7499999959875,696.854466908878
NO1.0,4,AUUC_cr_V1,396.4945227616755,806.2499999955761,503.6566548431968
NO1.0,4,AUUC_cr_V2,848.5224482944122,806.2499999955751,887.0269535855587
NO1.0,4,AUUC_cr_V1V2(0.5),622.5084855280431,806.2499999955738,695.3418042143755
NO2.0,4,AUUC_cr_V1,337.1596759707681,746.2499999956657,448.074747519867
NO2.0,4,AUUC_cr_V2,737.2333555128428,746.2499999956659,792.2921491352321
NO2.0,4,AUUC_cr_V1V2(0.5),537.196515741805,746.2499999956659,620.1834483275485
RAND,5,AUUC_cr_V1,451.7781756440572,562.4999999974061,308.91264035969016
RAND,5,AUUC_cr_V2,451.77817564406723,562.4999999974025,308.9126403596929
RAND,5,AUUC_cr_V1V2(0.5),451.77817564405814,562.4999999974043,308.91264035968925
Oracle,5,AUUC_cr_V1,764.0686762140401,893.7499999961898,582.7103867444439
Oracle,5,AUUC_cr_V2,896.5532862139404,893.7499999961873,916.0721036702719
Oracle,5,AUUC_cr_V1V2(0.5),830.3109812139894,893.7499999961896,749.3912452073546
NO0.1,5,AUUC_cr_V1,764.0686762140401,893.7499999961898,582.7103867444439
NO0.1,5,AUUC_cr_V2,896.5532862139404,893.7499999961873,916.0721036702719
