method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,0,AUUC_cr_V1,962.8062944341905,562.5000000010282,950.9160430490651
RAND,0,AUUC_cr_V2,962.8062944342164,562.5000000010332,950.916043049041
RAND,0,AUUC_cr_V1V2(0.5),962.8062944342091,562.5000000010241,950.9160430490501
Oracle,0,AUUC_cr_V1,1300.3872427058045,893.749999998135,1344.8080665348573
Oracle,0,AUUC_cr_V2,1291.0860169733899,893.7499999981395,1194.7610532794502
Oracle,0,AUUC_cr_V1V2(0.5),1295.7366298395968,893.7499999981317,1269.7845599071625
NO0.1,0,AUUC_cr_V1,1283.3177707484238,891.2499999977309,1335.8838289725995
NO0.1,0,AUUC_cr_V2,1288.1808067783525,891.2499999977356,1150.6061532413007
NO0.1,0,AUUC_cr_V1V2(0.5),1285.749288763388,891.2499999977277,1243.2449911069589
NO0.5,0,AUUC_cr_V1,1264.9868111055491,851.2500000011081,1260.465454914369
NO0.5,0,AUUC_cr_V2,994.6401702179734,851.2500000011123,941.8911315671508
NO0.5,0,AUUC_cr_V1V2(0.5),1129.8134906617588,851.2500000011053,1101.1782932407677
NO1.0,0,AUUC_cr_V1,1189.2560676209457,806.2499999989168,1195.761884207133
NO1.0,0,AUUC_cr_V2,1005.9635963698959,806.2499999989224,933.3548664211661
NO1.0,0,AUUC_cr_V1V2(0.5),1097.6098319954178,806.2499999989146,1064.5583753141568
NO2.0,0,AUUC_cr_V1,1180.7974994781196,768.7500000001036,1154.8107246421803
NO2.0,0,AUUC_cr_V2,996.8922281040491,768.7500000001089,918.0187529792933
NO2.0,0,AUUC_cr_V1V2(0.5),1088.8448637910808,768.7500000001013,1036.4147388107428
RAND,1,AUUC_cr_V1,918.6738295360747,562.5000000007922,950.9160430490651
RAND,1,AUUC_cr_V2,918.6738295360556,562.500000000804,950.916043049041
RAND,1,AUUC_cr_V1V2(0.5),918.6738295360628,562.5000000007967,950.9160430490501
Oracle,1,AUUC_cr_V1,1315.6687050154947,893.7499999978745,1344.8080665348573
Oracle,1,AUUC_cr_V2,1243.4436855437925,893.7499999978907,1194.7610532794502
Oracle,1,AUUC_cr_V1V2(0.5),1279.556195279646,893.7499999978734,1269.7845599071625
NO0.1,1,AUUC_cr_V1,1315.6687050154947,893.7499999978745,1344.8080665348573
NO0.1,1,AUUC_cr_V2,1243.4436855437925,893.7499999978907,1194.7610532794502
NO0.1,1,AUUC_cr_V1V2(0.5),1279.556195279646,893.7499999978734,1269.7845599071625
NO0.5,1,AUUC_cr_V1,1382.7376454470282,871.2499999964049,1349.344589532495
NO0.5,1,AUUC_cr_V2,1212.5591484970362,871.2499999964224,1222.6164047669997
NO0.5,1,AUUC_cr_V1V2(0.5),1297.648396972034,871.2499999964054,1285.9804971497567
NO1.0,1,AUUC_cr_V1,1302.9934106978044,801.2499999971157,1233.0305854716505
NO1.0,1,AUUC_cr_V2,1091.0939663609417,801.2499999971304,1225.9451113957139
NO1.0,1,AUUC_cr_V1V2(0.5),1197.0436885293752,801.2499999971163,1229.4878484336914
NO2.0,1,AUUC_cr_V1,1318.5352621824843,768.7499999963796,1221.792160269926
NO2.0,1,AUUC_cr_V2,1132.603425586359,768.7499999963964,1297.607681326608
NO2.0,1,AUUC_cr_V1V2(0.5),1225.5693438844235,768.7499999963813,1259.6999207982758
RAND,2,AUUC_cr_V1,1037.744789467621,562.5000000010759,950.9160430490651
RAND,2,AUUC_cr_V2,1037.7447894676006,562.5000000010914,950.916043049041
RAND,2,AUUC_cr_V1V2(0.5),1037.7447894676043,562.5000000010714,950.9160430490501
Oracle,2,AUUC_cr_V1,1570.2163035844858,893.7499999981559,1344.8080665348573
Oracle,2,AUUC_cr_V2,1217.399531374059,893.7499999981673,1194.7610532794502
Oracle,2,AUUC_cr_V1V2(0.5),1393.8079174792686,893.7499999981517,1269.7845599071625
NO0.1,2,AUUC_cr_V1,1570.7322046974025,886.249999997101,1334.1246616232254
NO0.1,2,AUUC_cr_V2,1319.1729820192431,886.2499999971122,1162.9098234017702
NO0.1,2,AUUC_cr_V1V2(0.5),1444.9525933583197,886.2499999970967,1248.517242512506
NO0.5,2,AUUC_cr_V1,1543.6918775188815,846.2499999974302,1302.183886539352
NO0.5,2,AUUC_cr_V2,1399.4768260834724,846.249999997441,1172.183076118847
NO0.5,2,AUUC_cr_V1V2(0.5),1471.5843518011752,846.2499999974259,1237.1834813291064
NO1.0,2,AUUC_cr_V1,1527.3247327006695,818.7499999946684,1310.8501164034528
NO1.0,2,AUUC_cr_V2,1539.6887548218062,818.7499999946806,1226.1727724612706
NO1.0,2,AUUC_cr_V1V2(0.5),1533.5067437612367,818.7499999946655,1268.5114444323683
NO2.0,2,AUUC_cr_V1,1413.4437894687744,738.749999991862,1246.7892546961486
NO2.0,2,AUUC_cr_V2,1640.9770457774562,738.7499999918756,1185.9950211428957
NO2.0,2,AUUC_cr_V1V2(0.5),1527.210417623114,738.7499999918601,1216.3921379195285
RAND,3,AUUC_cr_V1,1094.2438856684776,562.5000000008849,950.9160430490651
RAND,3,AUUC_cr_V2,1094.2438856685076,562.5000000008804,950.916043049041
RAND,3,AUUC_cr_V1V2(0.5),1094.2438856684785,562.5000000008913,950.9160430490501
Oracle,3,AUUC_cr_V1,1463.7101148359036,893.7499999979581,1344.8080665348573
Oracle,3,AUUC_cr_V2,1357.1617076392338,893.749999997962,1194.7610532794502
Oracle,3,AUUC_cr_V1V2(0.5),1410.4359112375603,893.7499999979584,1269.7845599071625
NO0.1,3,AUUC_cr_V1,1463.7101148359036,893.7499999979581,1344.8080665348573
NO0.1,3,AUUC_cr_V2,1357.1617076392338,893.749999997962,1194.7610532794502
NO0.1,3,AUUC_cr_V1V2(0.5),1410.4359112375603,893.7499999979584,1269.7845599071625
NO0.5,3,AUUC_cr_V1,1444.1045311411801,886.2499999979318,1325.0873253878297
NO0.5,3,AUUC_cr_V2,1321.5636127052526,886.249999997937,1164.4227162380719
NO0.5,3,AUUC_cr_V1V2(0.5),1382.8340719232087,886.249999997932,1244.7550208129599
NO1.0,3,AUUC_cr_V1,1408.6012900257745,851.2499999950546,1288.4915393467559
NO1.0,3,AUUC_cr_V2,1435.0948224297447,851.2499999950609,1245.766792814653
NO1.0,3,AUUC_cr_V1V2(0.5),1421.8480562277518,851.2499999950545,1267.1291660807146
NO2.0,3,AUUC_cr_V1,1416.597675474749,836.2499999932851,1277.945432507487
NO2.0,3,AUUC_cr_V2,1216.9970370992764,836.2499999932929,1160.5417288979656
NO2.0,3,AUUC_cr_V1V2(0.5),1316.7973562870054,836.2499999932857,1219.2435807027366
RAND,4,AUUC_cr_V1,1175.433946783694,562.5000000009877,950.9160430490651
RAND,4,AUUC_cr_V2,1175.4339467837126,562.5000000009713,950.916043049041
RAND,4,AUUC_cr_V1V2(0.5),1175.4339467836944,562.5000000009768,950.9160430490501
Oracle,4,AUUC_cr_V1,1506.602994492208,893.7499999980499,1344.8080665348573
Oracle,4,AUUC_cr_V2,1263.325068773835,893.7499999980505,1194.7610532794502
Oracle,4,AUUC_cr_V1V2(0.5),1384.9640316330176,893.7499999980449,1269.7845599071625
NO0.1,4,AUUC_cr_V1,1506.602994492208,893.7499999980499,1344.8080665348573
NO0.1,4,AUUC_cr_V2,1263.325068773835,893.7499999980505,1194.7610532794502
NO0.1,4,AUUC_cr_V1V2(0.5),1384.9640316330176,893.7499999980449,1269.7845599071625
NO0.5,4,AUUC_cr_V1,1400.8315928479901,853.7499999966586,1292.328700627539
NO0.5,4,AUUC_cr_V2,1460.8920683746808,853.7499999966593,1257.0728072313723
NO0.5,4,AUUC_cr_V1V2(0.5),1430.8618306113315,853.7499999966565,1274.7007539294639
NO1.0,4,AUUC_cr_V1,1348.8192348432383,806.2499999961636,1229.0900831406907
NO1.0,4,AUUC_cr_V2,1522.7224975880051,806.2499999961623,1132.7051273963762
NO1.0,4,AUUC_cr_V1V2(0.5),1435.7708662156167,806.249999996162,1180.8976052685407
NO2.0,4,AUUC_cr_V1,1315.714093797844,746.2499999967974,1174.3091460805117
NO2.0,4,AUUC_cr_V2,1472.6185188271195,746.2499999967939,1041.408292218516
NO2.0,4,AUUC_cr_V1V2(0.5),1394.1663063124756,746.249999996795,1107.8587191495196
RAND,5,AUUC_cr_V1,1015.7730068110877,562.5000000009936,950.9160430490651
RAND,5,AUUC_cr_V2,1015.7730068110577,562.5000000010186,950.916043049041
RAND,5,AUUC_cr_V1V2(0.5),1015.7730068110777,562.500000000995,950.9160430490501
Oracle,5,AUUC_cr_V1,1313.5470095435348,893.7499999981346,1344.8080665348573
Oracle,5,AUUC_cr_V2,1684.9192568638844,893.749999998152,1194.7610532794502
Oracle,5,AUUC_cr_V1V2(0.5),1499.2331332037177,893.749999998139,1269.7845599071625
NO0.1,5,AUUC_cr_V1,1313.5470095435348,893.7499999981346,1344.8080665348573
NO0.1,5,AUUC_cr_V2,1684.9192568638844,893.749999998152,1194.7610532794502
NO0.1,5,AUUC_cr_V1V2(0.5),1499.2331332037177,893.749999998139,1269.7845599071625
NO0.5,5,AUUC_cr_V1,1283.6245119713037,871.2499999964529,1300.3074195574857
NO0.5,5,AUUC_cr_V2,1627.0777244309347,871.2499999964676,1258.3755674665308
NO0.5,5,AUUC_cr_V1V2(0.5),1455.3511182011277,871.2499999964563,1279.3414935120175
NO1.0,5,AUUC_cr_V1,1170.3942533918057,813.7499999956169,1193.8668670181137
NO1.0,5,AUUC_cr_V2,1531.230386189689,813.74999999563,1238.167377403056
NO1.0,5,AUUC_cr_V1V2(0.5),1350.8123197907564,813.7499999956208,1216.0171222105937
NO2.0,5,AUUC_cr_V1,1114.338316260408,793.7499999958764,1155.721787784544
NO2.0,5,AUUC_cr_V2,1397.4863895677865,793.7499999958892,1158.1301735678503
NO2.0,5,AUUC_cr_V1V2(0.5),1255.9123529141068,793.7499999958798,1156.9259806762057
RAND,6,AUUC_cr_V1,992.8032760404708,562.500000000925,950.9160430490651
RAND,6,AUUC_cr_V2,992.803276040464,562.5000000009204,950.916043049041
RAND,6,AUUC_cr_V1V2(0.5),992.8032760404767,562.5000000009295,950.9160430490501
Oracle,6,AUUC_cr_V1,1334.2285368275327,893.7499999979794,1344.8080665348573
Oracle,6,AUUC_cr_V2,792.8010522252126,893.7499999979831,1194.7610532794502
Oracle,6,AUUC_cr_V1V2(0.5),1063.5147945263757,893.749999997983,1269.7845599071625
NO0.1,6,AUUC_cr_V1,1334.2285368275327,893.7499999979794,1344.8080665348573
NO0.1,6,AUUC_cr_V2,792.8010522252126,893.7499999979831,1194.7610532794502
NO0.1,6,AUUC_cr_V1V2(0.5),1063.5147945263757,893.749999997983,1269.7845599071625
NO0.5,6,AUUC_cr_V1,1210.4427661626316,818.7499999911926,1290.6929155586308
NO0.5,6,AUUC_cr_V2,1059.610891119116,818.7499999911998,1471.9144665828276
NO0.5,6,AUUC_cr_V1V2(0.5),1135.0268286408789,818.7499999911962,1381.303691070738
NO1.0,6,AUUC_cr_V1,1143.760468773653,781.2499999873734,1282.9136191168907
NO1.0,6,AUUC_cr_V2,1241.8744760428135,781.2499999873813,1461.4737306798918
NO1.0,6,AUUC_cr_V1V2(0.5),1192.8174724082403,781.2499999873767,1372.1936748984006
NO2.0,6,AUUC_cr_V1,1111.4260440729495,751.2499999868825,1249.1019983314443
