method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,0,AUUC_cr_V1,323.55874391506086,562.4999999973647,308.91264035969016
RAND,0,AUUC_cr_V2,323.5587439150695,562.4999999973697,308.9126403596929
RAND,0,AUUC_cr_V1V2(0.5),323.5587439150713,562.4999999973679,308.91264035968925
Oracle,0,AUUC_cr_V1,532.8195942660267,893.7499999959938,582.7103867444439
Oracle,0,AUUC_cr_V2,931.0592980847422,893.7499999959979,916.0721036702719
Oracle,0,AUUC_cr_V1V2(0.5),731.9394461753915,893.7499999959997,749.3912452073546
NO0.1,0,AUUC_cr_V1,523.4109507892684,891.2499999955866,580.105080360376
NO0.1,0,AUUC_cr_V2,1000.5004155620658,891.2499999955897,960.0360449833377
NO0.1,0,AUUC_cr_V1V2(0.5),761.9556831756743,891.2499999955929,770.070562671854
NO0.5,0,AUUC_cr_V1,553.5454789535394,851.2499999978753,572.4659638187103
NO0.5,0,AUUC_cr_V2,1000.1006233568701,851.2499999978794,958.3497671099592
NO0.5,0,AUUC_cr_V1V2(0.5),776.8230511552108,851.2499999978819,765.4078654643314
NO1.0,0,AUUC_cr_V1,515.7218841960347,806.2499999969388,533.5871893201967
NO1.0,0,AUUC_cr_V2,963.4543226136099,806.2499999969408,946.4078092105834
NO1.0,0,AUUC_cr_V1V2(0.5),739.5881034048289,806.2499999969466,739.9974992653887
NO2.0,0,AUUC_cr_V1,506.7705201461608,768.7499999980305,506.3922507190177
NO2.0,0,AUUC_cr_V2,805.585324761833,768.7499999980321,824.6071943110218
NO2.0,0,AUUC_cr_V1V2(0.5),656.1779224540027,768.7499999980383,665.4997225150196
RAND,1,AUUC_cr_V1,326.1914010052783,562.4999999976449,308.91264035969016
RAND,1,AUUC_cr_V2,326.191401005246,562.499999997628,308.9126403596929
RAND,1,AUUC_cr_V1V2(0.5),326.19140100526783,562.4999999976462,308.91264035968925
Oracle,1,AUUC_cr_V1,559.5727190496901,893.7499999962253,582.7103867444439
Oracle,1,AUUC_cr_V2,1136.3547802381222,893.7499999962123,916.0721036702719
Oracle,1,AUUC_cr_V1V2(0.5),847.9637496439084,893.7499999962225,749.3912452073546
NO0.1,1,AUUC_cr_V1,559.5727190496901,893.7499999962253,582.7103867444439
NO0.1,1,AUUC_cr_V2,1136.3547802381222,893.7499999962123,916.0721036702719
NO0.1,1,AUUC_cr_V1V2(0.5),847.9637496439084,893.7499999962225,749.3912452073546
NO0.5,1,AUUC_cr_V1,636.4054781179005,871.2499999965981,576.5392750937826
NO0.5,1,AUUC_cr_V2,1053.5627665631978,871.2499999965855,787.1221363602126
NO0.5,1,AUUC_cr_V1V2(0.5),844.9841223405523,871.2499999965943,681.8307057269957
NO1.0,1,AUUC_cr_V1,697.7932579672134,801.2499999982751,552.1123419452097
NO1.0,1,AUUC_cr_V2,899.9158861567032,801.2499999982663,704.5195398623417
NO1.0,1,AUUC_cr_V1V2(0.5),798.8545720619643,801.2499999982729,628.3159409037731
NO2.0,1,AUUC_cr_V1,670.8108299347246,768.7499999983323,520.1413222263246
NO2.0,1,AUUC_cr_V2,704.2336389472973,768.7499999983237,549.9300175828706
NO2.0,1,AUUC_cr_V1V2(0.5),687.522234441017,768.7499999983293,535.035669904597
RAND,2,AUUC_cr_V1,219.68610491525305,562.4999999973656,308.91264035969016
RAND,2,AUUC_cr_V2,219.68610491526852,562.4999999973479,308.9126403596929
RAND,2,AUUC_cr_V1V2(0.5),219.68610491525396,562.4999999973588,308.91264035968925
Oracle,2,AUUC_cr_V1,494.5697809421699,893.7499999960531,582.7103867444439
Oracle,2,AUUC_cr_V2,1132.9608881245706,893.7499999960415,916.0721036702719
Oracle,2,AUUC_cr_V1V2(0.5),813.7653345333697,893.7499999960446,749.3912452073546
NO0.1,2,AUUC_cr_V1,478.1040969642813,886.2499999950076,565.9491191172048
NO0.1,2,AUUC_cr_V2,1234.2703980423723,886.2499999949953,957.1389556781637
NO0.1,2,AUUC_cr_V1V2(0.5),856.1872475033263,886.2499999949993,761.5440373976822
