method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,0,AUUC_cr_V1,1016.7816654617209,562.5000000009013,950.9160430490651
RAND,0,AUUC_cr_V2,1016.7816654617018,562.5000000008986,950.916043049041
RAND,0,AUUC_cr_V1V2(0.5),1016.7816654617072,562.5000000009095,950.9160430490501
Oracle,0,AUUC_cr_V1,1472.9746862836923,893.7499999979009,1344.8080665348573
Oracle,0,AUUC_cr_V2,728.9609892679749,893.7499999979016,1194.7610532794502
Oracle,0,AUUC_cr_V1V2(0.5),1100.96783777583,893.7499999979037,1269.7845599071625
NO0.1,0,AUUC_cr_V1,1503.9112699462669,891.2499999975321,1335.8838289725995
NO0.1,0,AUUC_cr_V2,629.8470209330184,891.2499999975328,1150.6061532413007
NO0.1,0,AUUC_cr_V1V2(0.5),1066.8791454396387,891.2499999975347,1243.2449911069589
NO0.5,0,AUUC_cr_V1,1401.52187689557,851.2500000009335,1260.465454914369
NO0.5,0,AUUC_cr_V2,533.2376755599951,851.2500000009351,941.8911315671508
NO0.5,0,AUUC_cr_V1V2(0.5),967.3797762277777,851.2500000009363,1101.1782932407677
NO1.0,0,AUUC_cr_V1,1420.9401410397898,806.2499999988382,1195.761884207133
NO1.0,0,AUUC_cr_V2,597.8783782343374,806.2499999988381,933.3548664211661
NO1.0,0,AUUC_cr_V1V2(0.5),1009.4092596370597,806.2499999988405,1064.5583753141568
NO2.0,0,AUUC_cr_V1,1378.264268852122,768.7500000000458,1154.8107246421803
NO2.0,0,AUUC_cr_V2,636.8775167939822,768.7500000000458,918.0187529792933
NO2.0,0,AUUC_cr_V1V2(0.5),1007.5708928230491,768.7500000000483,1036.4147388107428
RAND,1,AUUC_cr_V1,1129.2124050453053,562.5000000011232,950.9160430490651
RAND,1,AUUC_cr_V2,1129.2124050453094,562.500000001106,950.916043049041
RAND,1,AUUC_cr_V1V2(0.5),1129.2124050453112,562.5000000011005,950.9160430490501
Oracle,1,AUUC_cr_V1,1446.3235288681594,893.7499999981427,1344.8080665348573
Oracle,1,AUUC_cr_V2,1096.804768428555,893.7499999981382,1194.7610532794502
Oracle,1,AUUC_cr_V1V2(0.5),1271.5641486483582,893.7499999981359,1269.7845599071625
NO0.1,1,AUUC_cr_V1,1446.3235288681594,893.7499999981427,1344.8080665348573
NO0.1,1,AUUC_cr_V2,1096.804768428555,893.7499999981382,1194.7610532794502
NO0.1,1,AUUC_cr_V1V2(0.5),1271.5641486483582,893.7499999981359,1269.7845599071625
NO0.5,1,AUUC_cr_V1,1405.950676155344,871.2499999966363,1349.344589532495
NO0.5,1,AUUC_cr_V2,1012.8200377345051,871.249999996632,1222.6164047669997
NO0.5,1,AUUC_cr_V1V2(0.5),1209.3853569449263,871.2499999966295,1285.9804971497567
NO1.0,1,AUUC_cr_V1,1239.0995758970466,801.2499999973089,1233.0305854716505
NO1.0,1,AUUC_cr_V2,1112.2754050046842,801.2499999973006,1225.9451113957139
NO1.0,1,AUUC_cr_V1V2(0.5),1175.6874904508666,801.2499999972996,1229.4878484336914
NO2.0,1,AUUC_cr_V1,1209.1518813303055,768.7499999966174,1221.792160269926
NO2.0,1,AUUC_cr_V2,1214.1504684691236,768.7499999966094,1297.607681326608
NO2.0,1,AUUC_cr_V1V2(0.5),1211.6511748997166,768.7499999966074,1259.6999207982758
RAND,2,AUUC_cr_V1,1001.2106976891992,562.5000000009313,950.9160430490651
RAND,2,AUUC_cr_V2,1001.2106976892283,562.5000000009131,950.916043049041
RAND,2,AUUC_cr_V1V2(0.5),1001.2106976892119,562.5000000009313,950.9160430490501
Oracle,2,AUUC_cr_V1,1349.0763552382625,893.7499999980338,1344.8080665348573
Oracle,2,AUUC_cr_V2,792.3906145770949,893.7499999980294,1194.7610532794502
Oracle,2,AUUC_cr_V1V2(0.5),1070.73348490768,893.7499999980275,1269.7845599071625
NO0.1,2,AUUC_cr_V1,1326.779607933332,886.249999996912,1334.1246616232254
NO0.1,2,AUUC_cr_V2,485.0025184965835,886.2499999969095,1162.9098234017702
NO0.1,2,AUUC_cr_V1V2(0.5),905.891063214959,886.249999996906,1248.517242512506
NO0.5,2,AUUC_cr_V1,1246.5766285594927,846.2499999972391,1302.183886539352
NO0.5,2,AUUC_cr_V2,241.7210140629546,846.2499999972375,1172.183076118847
NO0.5,2,AUUC_cr_V1V2(0.5),744.1488213112254,846.2499999972334,1237.1834813291064
NO1.0,2,AUUC_cr_V1,1240.125244118649,818.7499999944325,1310.8501164034528
NO1.0,2,AUUC_cr_V2,66.4424905986389,818.7499999944342,1226.1727724612706
NO1.0,2,AUUC_cr_V1V2(0.5),653.2838673586463,818.7499999944279,1268.5114444323683
NO2.0,2,AUUC_cr_V1,1159.0436861029018,738.7499999915897,1246.7892546961486
NO2.0,2,AUUC_cr_V2,-105.0422466231799,738.7499999915952,1185.9950211428957
NO2.0,2,AUUC_cr_V1V2(0.5),527.0007197398623,738.7499999915867,1216.3921379195285
RAND,3,AUUC_cr_V1,934.3667815062977,562.5000000008845,950.9160430490651
RAND,3,AUUC_cr_V2,934.3667815063054,562.5000000008913,950.916043049041
RAND,3,AUUC_cr_V1V2(0.5),934.3667815063127,562.500000000884,950.9160430490501
Oracle,3,AUUC_cr_V1,1402.8262939833837,893.7499999979917,1344.8080665348573
Oracle,3,AUUC_cr_V2,1275.4027760275046,893.7499999979907,1194.7610532794502
Oracle,3,AUUC_cr_V1V2(0.5),1339.1145350054455,893.7499999979881,1269.7845599071625
NO0.1,3,AUUC_cr_V1,1402.8262939833837,893.7499999979917,1344.8080665348573
NO0.1,3,AUUC_cr_V2,1275.4027760275046,893.7499999979907,1194.7610532794502
NO0.1,3,AUUC_cr_V1V2(0.5),1339.1145350054455,893.7499999979881,1269.7845599071625
NO0.5,3,AUUC_cr_V1,1384.5712521821058,886.2499999979528,1325.0873253878297
NO0.5,3,AUUC_cr_V2,1222.9866128225385,886.2499999979523,1164.4227162380719
NO0.5,3,AUUC_cr_V1V2(0.5),1303.778932502323,886.2499999979484,1244.7550208129599
NO1.0,3,AUUC_cr_V1,1298.8994151183103,851.2499999950622,1288.4915393467559
NO1.0,3,AUUC_cr_V2,1305.2414138242293,851.2499999950614,1245.766792814653
NO1.0,3,AUUC_cr_V1V2(0.5),1302.0704144712709,851.2499999950578,1267.1291660807146
NO2.0,3,AUUC_cr_V1,1278.5506735390716,836.2499999933408,1277.945432507487
NO2.0,3,AUUC_cr_V2,1236.5896008688064,836.2499999933399,1160.5417288979656
NO2.0,3,AUUC_cr_V1V2(0.5),1257.5701372039398,836.2499999933367,1219.2435807027366
RAND,4,AUUC_cr_V1,644.0367259610898,562.5000000008522,950.9160430490651
RAND,4,AUUC_cr_V2,644.0367259611085,562.5000000008549,950.916043049041
RAND,4,AUUC_cr_V1V2(0.5),644.0367259611012,562.5000000008476,950.9160430490501
Oracle,4,AUUC_cr_V1,1030.6700703727818,893.7499999979023,1344.8080665348573
Oracle,4,AUUC_cr_V2,626.2835015334351,893.749999997914,1194.7610532794502
Oracle,4,AUUC_cr_V1V2(0.5),828.4767859531133,893.7499999979017,1269.7845599071625
NO0.1,4,AUUC_cr_V1,1030.6700703727818,893.7499999979023,1344.8080665348573
NO0.1,4,AUUC_cr_V2,626.2835015334351,893.749999997914,1194.7610532794502
NO0.1,4,AUUC_cr_V1V2(0.5),828.4767859531133,893.7499999979017,1269.7845599071625
NO0.5,4,AUUC_cr_V1,1037.6064096927303,853.74999999642,1292.328700627539
NO0.5,4,AUUC_cr_V2,666.0893842566778,853.7499999964333,1257.0728072313723
NO0.5,4,AUUC_cr_V1V2(0.5),851.8478969747091,853.7499999964198,1274.7007539294639
NO1.0,4,AUUC_cr_V1,957.4599937783254,806.2499999959039,1229.0900831406907
NO1.0,4,AUUC_cr_V2,398.5873986177843,806.249999995916,1132.7051273963762
NO1.0,4,AUUC_cr_V1V2(0.5),678.0236961980588,806.2499999959044,1180.8976052685407
NO2.0,4,AUUC_cr_V1,865.1255757931037,746.2499999965054,1174.3091460805117
NO2.0,4,AUUC_cr_V2,387.8764513528612,746.2499999965162,1041.408292218516
NO2.0,4,AUUC_cr_V1V2(0.5),626.5010135729858,746.2499999965069,1107.8587191495196
RAND,5,AUUC_cr_V1,759.8155365400748,562.5000000010814,950.9160430490651
RAND,5,AUUC_cr_V2,759.8155365401253,562.5000000010878,950.916043049041
RAND,5,AUUC_cr_V1V2(0.5),759.8155365401017,562.5000000010768,950.9160430490501
Oracle,5,AUUC_cr_V1,1393.1430575457023,893.7499999980888,1344.8080665348573
Oracle,5,AUUC_cr_V2,658.7207193510194,893.7499999980836,1194.7610532794502
Oracle,5,AUUC_cr_V1V2(0.5),1025.9318884483666,893.7499999980852,1269.7845599071625
NO0.1,5,AUUC_cr_V1,1393.1430575457023,893.7499999980888,1344.8080665348573
NO0.1,5,AUUC_cr_V2,658.7207193510194,893.7499999980836,1194.7610532794502
NO0.1,5,AUUC_cr_V1V2(0.5),1025.9318884483666,893.7499999980852,1269.7845599071625
NO0.5,5,AUUC_cr_V1,1360.549637622037,871.2499999964373,1300.3074195574857
NO0.5,5,AUUC_cr_V2,910.1469821100583,871.2499999964305,1258.3755674665308
NO0.5,5,AUUC_cr_V1V2(0.5),1135.3483098660543,871.2499999964324,1279.3414935120175
NO1.0,5,AUUC_cr_V1,1309.4593568897944,813.7499999956681,1193.8668670181137
NO1.0,5,AUUC_cr_V2,971.1605782477537,813.7499999956607,1238.167377403056
NO1.0,5,AUUC_cr_V1V2(0.5),1140.3099675687808,813.7499999956627,1216.0171222105937
NO2.0,5,AUUC_cr_V1,1253.1233447690868,793.7499999958982,1155.721787784544
NO2.0,5,AUUC_cr_V2,903.2495003559848,793.7499999958914,1158.1301735678503
NO2.0,5,AUUC_cr_V1V2(0.5),1078.1864225625418,793.7499999958936,1156.9259806762057
RAND,6,AUUC_cr_V1,733.3351945903219,562.500000000995,950.9160430490651
RAND,6,AUUC_cr_V2,733.3351945903305,562.5000000009859,950.916043049041
RAND,6,AUUC_cr_V1V2(0.5),733.3351945903214,562.5000000009968,950.9160430490501
Oracle,6,AUUC_cr_V1,1125.8999365562936,893.74999999802,1344.8080665348573
Oracle,6,AUUC_cr_V2,1043.1561597063903,893.749999998018,1194.7610532794502
Oracle,6,AUUC_cr_V1V2(0.5),1084.5280481313393,893.7499999980199,1269.7845599071625
NO0.1,6,AUUC_cr_V1,1125.8999365562936,893.74999999802,1344.8080665348573
NO0.1,6,AUUC_cr_V2,1043.1561597063903,893.749999998018,1194.7610532794502
NO0.1,6,AUUC_cr_V1V2(0.5),1084.5280481313393,893.7499999980199,1269.7845599071625
NO0.5,6,AUUC_cr_V1,1084.4391174158861,818.7499999912859,1290.6929155586308
NO0.5,6,AUUC_cr_V2,1636.1627894794688,818.7499999912856,1471.9144665828276
NO0.5,6,AUUC_cr_V1V2(0.5),1360.3009534476698,818.7499999912867,1381.303691070738
NO1.0,6,AUUC_cr_V1,1130.273606623091,781.2499999874398,1282.9136191168907
NO1.0,6,AUUC_cr_V2,1746.5566104719846,781.2499999874402,1461.4737306798918
NO1.0,6,AUUC_cr_V1V2(0.5),1438.4151085475291,781.2499999874407,1372.1936748984006
NO2.0,6,AUUC_cr_V1,1098.347687839053,751.2499999869572,1249.1019983314443
NO2.0,6,AUUC_cr_V2,1755.3393262224545,751.2499999869577,1496.924866142135
NO2.0,6,AUUC_cr_V1V2(0.5),1426.8435070307444,751.249999986959,1373.0134322367987
RAND,7,AUUC_cr_V1,906.7500235087637,562.5000000010718,950.9160430490651
RAND,7,AUUC_cr_V2,906.7500235087391,562.5000000010878,950.916043049041
RAND,7,AUUC_cr_V1V2(0.5),906.75002350875,562.5000000010677,950.9160430490501
Oracle,7,AUUC_cr_V1,1183.1829710185823,893.7499999981433,1344.8080665348573
Oracle,7,AUUC_cr_V2,988.9572969716172,893.7499999981547,1194.7610532794502
Oracle,7,AUUC_cr_V1V2(0.5),1086.0701339951015,893.7499999981483,1269.7845599071625
NO0.1,7,AUUC_cr_V1,1165.7277276012417,891.2499999977664,1335.8838289725995
NO0.1,7,AUUC_cr_V2,935.2615340365553,891.2499999977787,1150.6061532413007
NO0.1,7,AUUC_cr_V1V2(0.5),1050.4946308189005,891.2499999977715,1243.2449911069589
NO0.5,7,AUUC_cr_V1,1153.997604689393,876.249999996624,1305.4173765357832
NO0.5,7,AUUC_cr_V2,802.277155453857,876.2499999966378,1088.3034142276376
NO0.5,7,AUUC_cr_V1V2(0.5),978.1373800716273,876.2499999966299,1196.860395381719
NO1.0,7,AUUC_cr_V1,1102.8731032485134,856.2499999948236,1279.167247683885
NO1.0,7,AUUC_cr_V2,855.5309477907987,856.2499999948385,1130.8695157367536
NO1.0,7,AUUC_cr_V1V2(0.5),979.2020255196583,856.2499999948297,1205.0183817103284
NO2.0,7,AUUC_cr_V1,1145.6242774217224,821.2499999914431,1259.9833854360083
NO2.0,7,AUUC_cr_V2,1062.8731750580528,821.2499999914589,1205.5137322425408
NO2.0,7,AUUC_cr_V1V2(0.5),1104.2487262398886,821.2499999914502,1232.7485588392835
RAND,8,AUUC_cr_V1,907.5429160848257,562.5000000009168,950.9160430490651
RAND,8,AUUC_cr_V2,907.5429160848325,562.500000000924,950.916043049041
RAND,8,AUUC_cr_V1V2(0.5),907.5429160848198,562.5000000009113,950.9160430490501
Oracle,8,AUUC_cr_V1,1136.814336787938,893.7499999979904,1344.8080665348573
Oracle,8,AUUC_cr_V2,936.6894546122089,893.7499999980021,1194.7610532794502
Oracle,8,AUUC_cr_V1V2(0.5),1036.7518957000705,893.7499999979879,1269.7845599071625
NO0.1,8,AUUC_cr_V1,1153.5201676525269,891.2499999976908,1351.9636905586683
NO0.1,8,AUUC_cr_V2,1023.8226805689088,891.2499999977023,1251.2197179797186
NO0.1,8,AUUC_cr_V1V2(0.5),1088.6714241107145,891.2499999976882,1301.591704269202
NO0.5,8,AUUC_cr_V1,1267.3095439557067,848.7499999956394,1374.9371342359605
NO0.5,8,AUUC_cr_V2,1226.309351610634,848.7499999956497,1378.11693325895
NO0.5,8,AUUC_cr_V1V2(0.5),1246.8094477831655,848.7499999956351,1376.527033747463
NO1.0,8,AUUC_cr_V1,1269.7558611988472,803.749999993516,1346.5956729487123
NO1.0,8,AUUC_cr_V2,1327.2186195043191,803.749999993526,1429.094110772089
NO1.0,8,AUUC_cr_V1V2(0.5),1298.4872403515776,803.7499999935118,1387.8448918604083
NO2.0,8,AUUC_cr_V1,1271.2907275300545,783.7499999939655,1333.5676626856875
NO2.0,8,AUUC_cr_V2,1333.8353784791957,783.7499999939756,1433.241899085861
NO2.0,8,AUUC_cr_V1V2(0.5),1302.5630530046194,783.7499999939614,1383.4047808857813
RAND,9,AUUC_cr_V1,753.0539424670651,562.5000000008458,950.9160430490651
RAND,9,AUUC_cr_V2,753.0539424670751,562.5000000008586,950.916043049041
RAND,9,AUUC_cr_V1V2(0.5),753.0539424670733,562.5000000008422,950.9160430490501
Oracle,9,AUUC_cr_V1,1198.2266974787206,893.7499999978876,1344.8080665348573
Oracle,9,AUUC_cr_V2,799.3319063326724,893.7499999978875,1194.7610532794502
Oracle,9,AUUC_cr_V1V2(0.5),998.7793019056962,893.74999999788,1269.7845599071625
NO0.1,9,AUUC_cr_V1,1198.2266974787206,893.7499999978876,1344.8080665348573
NO0.1,9,AUUC_cr_V2,799.3319063326724,893.7499999978875,1194.7610532794502
NO0.1,9,AUUC_cr_V1V2(0.5),998.7793019056962,893.74999999788,1269.7845599071625
NO0.5,9,AUUC_cr_V1,1201.8327732414234,891.2499999975346,1335.8838289725995
NO0.5,9,AUUC_cr_V2,782.3678033267768,891.2499999975345,1150.6061532413007
NO0.5,9,AUUC_cr_V1V2(0.5),992.1002882840997,891.2499999975274,1243.2449911069589
NO1.0,9,AUUC_cr_V1,1220.8181950258252,873.7499999954707,1310.658890030748
NO1.0,9,AUUC_cr_V2,870.0880671747569,873.7499999954704,1146.113592235434
NO1.0,9,AUUC_cr_V1V2(0.5),1045.453131100292,873.7499999954638,1228.3862411330995
NO2.0,9,AUUC_cr_V1,1184.9944420271704,843.7499999949014,1277.0961317276322
NO2.0,9,AUUC_cr_V2,851.1796607799037,843.7499999949014,1039.595674918106
NO2.0,9,AUUC_cr_V1V2(0.5),1018.0870514035392,843.7499999948936,1158.345903322877
RAND,10,AUUC_cr_V1,1198.6013370268233,562.5000000009127,950.9160430490651
RAND,10,AUUC_cr_V2,1198.6013370268302,562.500000000924,950.916043049041
RAND,10,AUUC_cr_V1V2(0.5),1198.6013370268302,562.5000000009168,950.9160430490501
Oracle,10,AUUC_cr_V1,1430.6134991131526,893.7499999980174,1344.8080665348573
Oracle,10,AUUC_cr_V2,1811.3438706868035,893.749999998018,1194.7610532794502
Oracle,10,AUUC_cr_V1V2(0.5),1620.978684899984,893.749999998021,1269.7845599071625
NO0.1,10,AUUC_cr_V1,1430.6134991131526,893.7499999980174,1344.8080665348573
NO0.1,10,AUUC_cr_V2,1811.3438706868035,893.749999998018,1194.7610532794502
NO0.1,10,AUUC_cr_V1V2(0.5),1620.978684899984,893.749999998021,1269.7845599071625
NO0.5,10,AUUC_cr_V1,1438.2691338434793,883.7499999971303,1363.4057735503884
NO0.5,10,AUUC_cr_V2,1569.7021987505686,883.749999997131,1131.466239529307
NO0.5,10,AUUC_cr_V1V2(0.5),1503.9856662970299,883.7499999971337,1247.4360065398564
NO1.0,10,AUUC_cr_V1,1351.033904819913,858.7499999994734,1313.0369625919905
NO1.0,10,AUUC_cr_V2,1554.7318815078227,858.7499999994725,1036.1208165481194
NO1.0,10,AUUC_cr_V1V2(0.5),1452.8828931638736,858.7499999994766,1174.5788895700637
NO2.0,10,AUUC_cr_V1,1329.2967611366573,846.2499999980829,1289.571190999513
NO2.0,10,AUUC_cr_V2,1562.3661120648296,846.249999998082,1019.3245853817833
NO2.0,10,AUUC_cr_V1V2(0.5),1445.8314366007494,846.2499999980861,1154.4478881906568
RAND,11,AUUC_cr_V1,919.5369805970213,562.5000000009782,950.9160430490651
RAND,11,AUUC_cr_V2,919.5369805970113,562.5000000009823,950.916043049041
RAND,11,AUUC_cr_V1V2(0.5),919.5369805970222,562.5000000009841,950.9160430490501
Oracle,11,AUUC_cr_V1,1415.5526959770496,893.7499999980599,1344.8080665348573
Oracle,11,AUUC_cr_V2,822.623450098739,893.7499999980693,1194.7610532794502
Oracle,11,AUUC_cr_V1V2(0.5),1119.0880730378938,893.7499999980632,1269.7845599071625
NO0.1,11,AUUC_cr_V1,1415.5526959770496,893.7499999980599,1344.8080665348573
NO0.1,11,AUUC_cr_V2,822.623450098739,893.7499999980693,1194.7610532794502
NO0.1,11,AUUC_cr_V1V2(0.5),1119.0880730378938,893.7499999980632,1269.7845599071625
NO0.5,11,AUUC_cr_V1,1444.5868998270998,866.2499999963075,1314.9125142409164
NO0.5,11,AUUC_cr_V2,1020.1919492960631,866.2499999963159,1307.4959274976002
NO0.5,11,AUUC_cr_V1V2(0.5),1232.3894245615807,866.24999999631,1311.2042208692676
NO1.0,11,AUUC_cr_V1,1392.6163172972786,818.7499999964917,1251.7993182351618
NO1.0,11,AUUC_cr_V2,1058.4532961475647,818.7499999964991,1307.1403131113693
NO1.0,11,AUUC_cr_V1V2(0.5),1225.5348067224213,818.7499999964936,1279.4698156732748
NO2.0,11,AUUC_cr_V1,1392.6163172972786,818.7499999964917,1251.7993182351618
NO2.0,11,AUUC_cr_V2,1058.4532961475647,818.7499999964991,1307.1403131113693
NO2.0,11,AUUC_cr_V1V2(0.5),1225.5348067224213,818.7499999964936,1279.4698156732748
RAND,12,AUUC_cr_V1,678.8532707144295,562.5000000009604,950.9160430490651
RAND,12,AUUC_cr_V2,678.8532707144223,562.5000000009786,950.916043049041
RAND,12,AUUC_cr_V1V2(0.5),678.8532707144277,562.5000000009604,950.9160430490501
Oracle,12,AUUC_cr_V1,1008.1697259853968,893.7499999980238,1344.8080665348573
Oracle,12,AUUC_cr_V2,822.4901523660108,893.749999998037,1194.7610532794502
Oracle,12,AUUC_cr_V1V2(0.5),915.3299391757084,893.7499999980246,1269.7845599071625
NO0.1,12,AUUC_cr_V1,1008.1697259853968,893.7499999980238,1344.8080665348573
NO0.1,12,AUUC_cr_V2,822.4901523660108,893.749999998037,1194.7610532794502
NO0.1,12,AUUC_cr_V1V2(0.5),915.3299391757084,893.7499999980246,1269.7845599071625
NO0.5,12,AUUC_cr_V1,985.3111432445863,878.7499999996005,1310.279873290333
NO0.5,12,AUUC_cr_V2,714.7491772116678,878.7499999996137,1100.9443760542547
NO0.5,12,AUUC_cr_V1V2(0.5),850.0301602281327,878.7499999996007,1205.6121246723028
NO1.0,12,AUUC_cr_V1,974.128333993221,861.25000000046,1306.1559721903307
NO1.0,12,AUUC_cr_V2,809.8562193262258,861.2500000004721,1149.130511988501
NO1.0,12,AUUC_cr_V1V2(0.5),891.9922766597294,861.2500000004596,1227.6432420894243
NO2.0,12,AUUC_cr_V1,938.7208045161914,806.2500000001588,1245.9394617550288
NO2.0,12,AUUC_cr_V2,837.3885815912945,806.2500000001702,1128.5239285639493
NO2.0,12,AUUC_cr_V1V2(0.5),888.0546930537487,806.250000000157,1187.2316951594973
RAND,13,AUUC_cr_V1,836.9992218914017,562.50000000109,950.9160430490651
RAND,13,AUUC_cr_V2,836.9992218914267,562.500000001106,950.916043049041
RAND,13,AUUC_cr_V1V2(0.5),836.9992218914122,562.5000000010896,950.9160430490501
Oracle,13,AUUC_cr_V1,1146.0257507676174,893.7499999981958,1344.8080665348573
Oracle,13,AUUC_cr_V2,1487.199147014373,893.7499999982012,1194.7610532794502
Oracle,13,AUUC_cr_V1V2(0.5),1316.6124488909945,893.7499999981906,1269.7845599071625
NO0.1,13,AUUC_cr_V1,1146.0257507676174,893.7499999981958,1344.8080665348573
