method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,0,AUUC_cr_V1,409.5184179264893,562.5000000000009,409.5184179264893
RAND,0,AUUC_cr_V2,409.51841792649793,562.5,409.51841792649793
RAND,0,AUUC_cr_V1V2(0.5),409.518417926487,562.5,409.518417926487
Oracle,0,AUUC_cr_V1,662.4878577602179,893.7500000000016,662.4878577602179
Oracle,0,AUUC_cr_V2,816.014274343481,893.75,816.014274343481
Oracle,0,AUUC_cr_V1V2(0.5),739.2510660518509,893.7500000000026,739.2510660518509
NO0.1,0,AUUC_cr_V1,664.4764296391074,891.2500000000016,664.4764296391074
NO0.1,0,AUUC_cr_V2,873.9632766599888,891.25,873.9632766599888
NO0.1,0,AUUC_cr_V1V2(0.5),769.2198531495496,891.2500000000026,769.2198531495496
NO0.5,0,AUUC_cr_V1,632.0245363884377,851.2500000000014,632.0245363884377
NO0.5,0,AUUC_cr_V2,1103.504345729713,851.25,1103.504345729713
NO0.5,0,AUUC_cr_V1V2(0.5),867.7644410590752,851.2500000000033,867.7644410590752
NO1.0,0,AUUC_cr_V1,625.4932905842763,806.2500000000014,625.4932905842763
NO1.0,0,AUUC_cr_V2,1027.1438689184945,806.25,1027.1438689184945
NO1.0,0,AUUC_cr_V1V2(0.5),826.3185797513852,806.2500000000031,826.3185797513852
NO2.0,0,AUUC_cr_V1,612.1865840509654,768.750000000001,612.1865840509654
NO2.0,0,AUUC_cr_V2,955.8493992796069,768.75,955.8493992796069
NO2.0,0,AUUC_cr_V1V2(0.5),784.0179916652856,768.7500000000031,784.0179916652856
RAND,1,AUUC_cr_V1,400.434575180861,562.5000000000009,400.434575180861
RAND,1,AUUC_cr_V2,400.43457518086507,562.5,400.43457518086507
RAND,1,AUUC_cr_V1V2(0.5),400.43457518086325,562.5,400.43457518086325
Oracle,1,AUUC_cr_V1,604.7776111998357,893.7500000000016,604.7776111998357
Oracle,1,AUUC_cr_V2,928.9759258270767,893.75,928.9759258270767
Oracle,1,AUUC_cr_V1V2(0.5),766.8767685134648,893.7500000000026,766.8767685134648
