method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,0,AUUC_cr_V1,610.2491853983861,562.5000000000009,610.2491853983861
RAND,0,AUUC_cr_V2,610.2491853983774,562.5,610.2491853983774
RAND,0,AUUC_cr_V1V2(0.5),610.2491853983811,562.5,610.2491853983811
Oracle,0,AUUC_cr_V1,1152.0694508897302,893.7500000000016,1152.0694508897302
Oracle,0,AUUC_cr_V2,1280.7570464974835,893.75,1280.7570464974835
Oracle,0,AUUC_cr_V1V2(0.5),1216.4132486936046,893.7500000000026,1216.4132486936046
NO0.1,0,AUUC_cr_V1,1139.052073216131,891.2500000000016,1139.052073216131
NO0.1,0,AUUC_cr_V2,1337.5807984170417,891.25,1337.5807984170417
NO0.1,0,AUUC_cr_V1V2(0.5),1238.3164358165843,891.2500000000026,1238.3164358165843
NO0.5,0,AUUC_cr_V1,1069.9308557251788,851.2500000000014,1069.9308557251788
NO0.5,0,AUUC_cr_V2,1603.0618823997722,851.25,1603.0618823997722
NO0.5,0,AUUC_cr_V1V2(0.5),1336.4963690624731,851.2500000000033,1336.4963690624731
NO1.0,0,AUUC_cr_V1,988.7522732112253,806.2500000000014,988.7522732112253
NO1.0,0,AUUC_cr_V2,1497.6938296659264,806.25,1497.6938296659264
NO1.0,0,AUUC_cr_V1V2(0.5),1243.2230514385742,806.2500000000031,1243.2230514385742
NO2.0,0,AUUC_cr_V1,942.9807552586246,768.750000000001,942.9807552586246
NO2.0,0,AUUC_cr_V2,1389.7015348180516,768.75,1389.7015348180516
NO2.0,0,AUUC_cr_V1V2(0.5),1166.3411450383362,768.7500000000031,1166.3411450383362
RAND,1,AUUC_cr_V1,324.08761910888734,562.5000000000009,324.08761910888734
RAND,1,AUUC_cr_V2,324.0876191088828,562.5,324.0876191088828
RAND,1,AUUC_cr_V1V2(0.5),324.0876191088755,562.5,324.0876191088755
Oracle,1,AUUC_cr_V1,556.5473230279739,893.7500000000016,556.5473230279739
Oracle,1,AUUC_cr_V2,675.4593881431421,893.75,675.4593881431421
Oracle,1,AUUC_cr_V1V2(0.5),616.003355585548,893.7500000000026,616.003355585548
NO0.1,1,AUUC_cr_V1,556.5473230279739,893.7500000000016,556.5473230279739
NO0.1,1,AUUC_cr_V2,675.4593881431421,893.75,675.4593881431421
NO0.1,1,AUUC_cr_V1V2(0.5),616.003355585548,893.7500000000026,616.003355585548
NO0.5,1,AUUC_cr_V1,530.0265493081408,871.2500000000016,530.0265493081408
NO0.5,1,AUUC_cr_V2,678.2448626100736,871.25,678.2448626100736
NO0.5,1,AUUC_cr_V1V2(0.5),604.1357059590965,871.2500000000026,604.1357059590965
NO1.0,1,AUUC_cr_V1,400.5493329159964,801.2500000000014,400.5493329159964
NO1.0,1,AUUC_cr_V2,914.7646486357695,801.25,914.7646486357695
NO1.0,1,AUUC_cr_V1V2(0.5),657.6569907758707,801.2500000000033,657.6569907758707
NO2.0,1,AUUC_cr_V1,385.9147484404434,768.7500000000014,385.9147484404434
NO2.0,1,AUUC_cr_V2,893.6908640241389,768.75,893.6908640241389
NO2.0,1,AUUC_cr_V1V2(0.5),639.802806232279,768.7500000000031,639.802806232279
RAND,2,AUUC_cr_V1,634.4834233351021,562.5000000000009,634.4834233351021
RAND,2,AUUC_cr_V2,634.4834233350994,562.5,634.4834233350994
RAND,2,AUUC_cr_V1V2(0.5),634.483423335103,562.5,634.483423335103
Oracle,2,AUUC_cr_V1,1065.7610058149978,893.7500000000016,1065.7610058149978
Oracle,2,AUUC_cr_V2,1117.7348323992844,893.75,1117.7348323992844
Oracle,2,AUUC_cr_V1V2(0.5),1091.7479191071372,893.7500000000026,1091.7479191071372
NO0.1,2,AUUC_cr_V1,1049.9077095819864,886.2500000000016,1049.9077095819864
NO0.1,2,AUUC_cr_V2,1055.130004939969,886.25,1055.130004939969
NO0.1,2,AUUC_cr_V1V2(0.5),1052.5188572609738,886.2500000000024,1052.5188572609738
NO0.5,2,AUUC_cr_V1,1016.5273052818786,846.2500000000016,1016.5273052818786
NO0.5,2,AUUC_cr_V2,1019.5678108900247,846.25,1019.5678108900247
NO0.5,2,AUUC_cr_V1V2(0.5),1018.0475580859471,846.2500000000019,1018.0475580859471
NO1.0,2,AUUC_cr_V1,968.3204082059308,818.7500000000016,968.3204082059308
NO1.0,2,AUUC_cr_V2,996.0640963459537,818.75,996.0640963459537
NO1.0,2,AUUC_cr_V1V2(0.5),982.1922522759384,818.7500000000017,982.1922522759384
NO2.0,2,AUUC_cr_V1,813.8236841466247,738.7500000000014,813.8236841466247
NO2.0,2,AUUC_cr_V2,986.8351746911935,738.75,986.8351746911935
NO2.0,2,AUUC_cr_V1V2(0.5),900.3294294189062,738.7500000000011,900.3294294189062
RAND,3,AUUC_cr_V1,407.49215201534025,562.5000000000009,407.49215201534025
RAND,3,AUUC_cr_V2,407.49215201536936,562.5,407.49215201536936
RAND,3,AUUC_cr_V1V2(0.5),407.4921520153621,562.5,407.4921520153621
Oracle,3,AUUC_cr_V1,681.3789551185615,893.7500000000016,681.3789551185615
Oracle,3,AUUC_cr_V2,1157.197021816797,893.75,1157.197021816797
Oracle,3,AUUC_cr_V1V2(0.5),919.2879884676835,893.7500000000026,919.2879884676835
NO0.1,3,AUUC_cr_V1,681.3789551185615,893.7500000000016,681.3789551185615
NO0.1,3,AUUC_cr_V2,1157.197021816797,893.75,1157.197021816797
NO0.1,3,AUUC_cr_V1V2(0.5),919.2879884676835,893.7500000000026,919.2879884676835
NO0.5,3,AUUC_cr_V1,686.0119469194055,886.2500000000016,686.0119469194055
NO0.5,3,AUUC_cr_V2,1165.9209613554121,886.25,1165.9209613554121
NO0.5,3,AUUC_cr_V1V2(0.5),925.966454137412,886.2500000000026,925.966454137412
NO1.0,3,AUUC_cr_V1,632.6650092696015,851.2500000000016,632.6650092696015
NO1.0,3,AUUC_cr_V2,1154.6608813812281,851.25,1154.6608813812281
NO1.0,3,AUUC_cr_V1V2(0.5),893.6629453254167,851.2500000000026,893.6629453254167
NO2.0,3,AUUC_cr_V1,592.9437310918333,836.2500000000016,592.9437310918333
NO2.0,3,AUUC_cr_V2,1189.7070716734902,836.25,1189.7070716734902
NO2.0,3,AUUC_cr_V1V2(0.5),891.3254013826627,836.2500000000026,891.3254013826627
RAND,4,AUUC_cr_V1,540.4400643720942,562.5000000000009,540.4400643720942
RAND,4,AUUC_cr_V2,540.4400643721019,562.5,540.4400643721019
RAND,4,AUUC_cr_V1V2(0.5),540.4400643721019,562.5,540.4400643721019
Oracle,4,AUUC_cr_V1,851.1781425386498,893.7500000000016,851.1781425386498
Oracle,4,AUUC_cr_V2,1184.3562808942845,893.75,1184.3562808942845
Oracle,4,AUUC_cr_V1V2(0.5),1017.76721171647,893.7500000000026,1017.76721171647
NO0.1,4,AUUC_cr_V1,851.1781425386498,893.7500000000016,851.1781425386498
NO0.1,4,AUUC_cr_V2,1184.3562808942845,893.75,1184.3562808942845
NO0.1,4,AUUC_cr_V1V2(0.5),1017.76721171647,893.7500000000026,1017.76721171647
NO0.5,4,AUUC_cr_V1,883.5404944229971,853.7500000000016,883.5404944229971
NO0.5,4,AUUC_cr_V2,931.1976230953293,853.75,931.1976230953293
NO0.5,4,AUUC_cr_V1V2(0.5),907.3690587591663,853.7500000000019,907.3690587591663
NO1.0,4,AUUC_cr_V1,879.8889865677229,806.2500000000014,879.8889865677229
NO1.0,4,AUUC_cr_V2,799.8717784480212,806.25,799.8717784480212
NO1.0,4,AUUC_cr_V1V2(0.5),839.8803825078745,806.2500000000024,839.8803825078745
NO2.0,4,AUUC_cr_V1,824.6515271530455,746.250000000001,824.6515271530455
NO2.0,4,AUUC_cr_V2,625.086810194866,746.25,625.086810194866
NO2.0,4,AUUC_cr_V1V2(0.5),724.8691686739569,746.2500000000024,724.8691686739569
RAND,5,AUUC_cr_V1,571.7718004236899,562.5000000000009,571.7718004236899
RAND,5,AUUC_cr_V2,571.7718004236667,562.5,571.7718004236667
RAND,5,AUUC_cr_V1V2(0.5),571.7718004236849,562.5,571.7718004236849
Oracle,5,AUUC_cr_V1,673.4253964308033,893.7500000000016,673.4253964308033
Oracle,5,AUUC_cr_V2,1065.3988446111875,893.75,1065.3988446111875
Oracle,5,AUUC_cr_V1V2(0.5),869.4121205209983,893.7500000000026,869.4121205209983
NO0.1,5,AUUC_cr_V1,673.4253964308033,893.7500000000016,673.4253964308033
NO0.1,5,AUUC_cr_V2,1065.3988446111875,893.75,1065.3988446111875
NO0.1,5,AUUC_cr_V1V2(0.5),869.4121205209983,893.7500000000026,869.4121205209983
NO0.5,5,AUUC_cr_V1,628.0442406855855,871.2500000000016,628.0442406855855
NO0.5,5,AUUC_cr_V2,1203.8641412265679,871.25,1203.8641412265679
NO0.5,5,AUUC_cr_V1V2(0.5),915.9541909560788,871.2500000000024,915.9541909560788
NO1.0,5,AUUC_cr_V1,615.4052346135484,813.7500000000016,615.4052346135484
NO1.0,5,AUUC_cr_V2,1257.9020539862383,813.75,1257.9020539862383
NO1.0,5,AUUC_cr_V1V2(0.5),936.6536442998965,813.7500000000024,936.6536442998965
NO2.0,5,AUUC_cr_V1,601.216968029176,793.7500000000014,601.216968029176
NO2.0,5,AUUC_cr_V2,1239.4688594149286,793.75,1239.4688594149286
NO2.0,5,AUUC_cr_V1V2(0.5),920.3429137220562,793.7500000000026,920.3429137220562
RAND,6,AUUC_cr_V1,574.7123700454317,562.5000000000009,574.7123700454317
RAND,6,AUUC_cr_V2,574.7123700454067,562.5,574.7123700454067
RAND,6,AUUC_cr_V1V2(0.5),574.7123700454285,562.5,574.7123700454285
Oracle,6,AUUC_cr_V1,928.9220482690921,893.7500000000016,928.9220482690921
Oracle,6,AUUC_cr_V2,653.2608099110652,893.75,653.2608099110652
Oracle,6,AUUC_cr_V1V2(0.5),791.0914290900743,893.7500000000026,791.0914290900743
NO0.1,6,AUUC_cr_V1,928.9220482690921,893.7500000000016,928.9220482690921
NO0.1,6,AUUC_cr_V2,653.2608099110652,893.75,653.2608099110652
NO0.1,6,AUUC_cr_V1V2(0.5),791.0914290900743,893.7500000000026,791.0914290900743
NO0.5,6,AUUC_cr_V1,822.0438155234996,818.7500000000016,822.0438155234996
NO0.5,6,AUUC_cr_V2,298.6801112534596,818.75,298.6801112534596
NO0.5,6,AUUC_cr_V1V2(0.5),560.3619633884729,818.7500000000011,560.3619633884729
NO1.0,6,AUUC_cr_V1,731.9330393139318,781.2500000000016,731.9330393139318
NO1.0,6,AUUC_cr_V2,102.95523604041264,781.25,102.95523604041264
NO1.0,6,AUUC_cr_V1V2(0.5),417.44413767716577,781.2500000000009,417.44413767716577
NO2.0,6,AUUC_cr_V1,686.3111375655676,751.2500000000016,686.3111375655676
NO2.0,6,AUUC_cr_V2,90.91215279891196,751.25,90.91215279891196
NO2.0,6,AUUC_cr_V1V2(0.5),388.611645182233,751.2500000000009,388.611645182233
RAND,7,AUUC_cr_V1,460.9075248900881,562.5000000000009,460.9075248900881
RAND,7,AUUC_cr_V2,460.9075248901063,562.5,460.9075248901063
RAND,7,AUUC_cr_V1V2(0.5),460.90752489010083,562.5,460.90752489010083
Oracle,7,AUUC_cr_V1,865.5529268851138,893.7500000000016,865.5529268851138
Oracle,7,AUUC_cr_V2,683.0751556742451,893.75,683.0751556742451
Oracle,7,AUUC_cr_V1V2(0.5),774.3140412796812,893.7500000000026,774.3140412796812
NO0.1,7,AUUC_cr_V1,894.795839987737,891.2500000000016,894.795839987737
NO0.1,7,AUUC_cr_V2,625.4859971221467,891.25,625.4859971221467
NO0.1,7,AUUC_cr_V1V2(0.5),760.1409185549434,891.2500000000026,760.1409185549434
NO0.5,7,AUUC_cr_V1,916.7164084779579,876.2500000000016,916.7164084779579
NO0.5,7,AUUC_cr_V2,537.816259391945,876.25,537.816259391945
NO0.5,7,AUUC_cr_V1V2(0.5),727.2663339349527,876.2500000000024,727.2663339349527
NO1.0,7,AUUC_cr_V1,900.8440824380668,856.2500000000016,900.8440824380668
NO1.0,7,AUUC_cr_V2,555.4690028410508,856.25,555.4690028410508
NO1.0,7,AUUC_cr_V1V2(0.5),728.1565426395607,856.2500000000024,728.1565426395607
NO2.0,7,AUUC_cr_V1,862.7953978108893,821.2500000000016,862.7953978108893
NO2.0,7,AUUC_cr_V2,397.9814995957902,821.25,397.9814995957902
NO2.0,7,AUUC_cr_V1V2(0.5),630.3884487033417,821.2500000000017,630.3884487033417
RAND,8,AUUC_cr_V1,742.1597165931157,562.5000000000009,742.1597165931157
RAND,8,AUUC_cr_V2,742.1597165931089,562.5,742.1597165931089
RAND,8,AUUC_cr_V1V2(0.5),742.1597165931053,562.5,742.1597165931053
Oracle,8,AUUC_cr_V1,1147.093369406206,893.7500000000016,1147.093369406206
Oracle,8,AUUC_cr_V2,871.2040534594141,893.75,871.2040534594141
Oracle,8,AUUC_cr_V1V2(0.5),1009.14871143281,893.7500000000026,1009.14871143281
NO0.1,8,AUUC_cr_V1,1122.7682126541756,891.2500000000016,1122.7682126541756
NO0.1,8,AUUC_cr_V2,848.8660264767932,891.25,848.8660264767932
NO0.1,8,AUUC_cr_V1V2(0.5),985.8171195654842,891.2500000000024,985.8171195654842
NO0.5,8,AUUC_cr_V1,1023.1122895654968,848.7500000000016,1023.1122895654968
NO0.5,8,AUUC_cr_V2,892.813674017173,848.75,892.813674017173
NO0.5,8,AUUC_cr_V1V2(0.5),957.9629817913343,848.7500000000017,957.9629817913343
NO1.0,8,AUUC_cr_V1,952.2373143441041,803.7500000000016,952.2373143441041
NO1.0,8,AUUC_cr_V2,796.6569547923793,803.75,796.6569547923793
NO1.0,8,AUUC_cr_V1V2(0.5),874.4471345682396,803.7500000000011,874.4471345682396
NO2.0,8,AUUC_cr_V1,912.7193170792842,783.7500000000014,912.7193170792842
NO2.0,8,AUUC_cr_V2,750.7410408634402,783.75,750.7410408634402
NO2.0,8,AUUC_cr_V1V2(0.5),831.7301789713609,783.7500000000011,831.7301789713609
RAND,9,AUUC_cr_V1,624.8436087924383,562.5000000000009,624.8436087924383
RAND,9,AUUC_cr_V2,624.8436087924529,562.5,624.8436087924529
RAND,9,AUUC_cr_V1V2(0.5),624.8436087924438,562.5,624.8436087924438
Oracle,9,AUUC_cr_V1,1010.4804110741115,893.7500000000016,1010.4804110741115
Oracle,9,AUUC_cr_V2,1419.4862542235924,893.75,1419.4862542235924
Oracle,9,AUUC_cr_V1V2(0.5),1214.9833326488604,893.7500000000026,1214.9833326488604
NO0.1,9,AUUC_cr_V1,1010.4804110741115,893.7500000000016,1010.4804110741115
NO0.1,9,AUUC_cr_V2,1419.4862542235924,893.75,1419.4862542235924
NO0.1,9,AUUC_cr_V1V2(0.5),1214.9833326488604,893.7500000000026,1214.9833326488604
NO0.5,9,AUUC_cr_V1,1018.1697279036989,891.2500000000016,1018.1697279036989
NO0.5,9,AUUC_cr_V2,1422.7704732840357,891.25,1422.7704732840357
NO0.5,9,AUUC_cr_V1V2(0.5),1220.4701005938764,891.2500000000026,1220.4701005938764
NO1.0,9,AUUC_cr_V1,985.8850664272238,873.7500000000016,985.8850664272238
NO1.0,9,AUUC_cr_V2,1305.4540710630013,873.75,1305.4540710630013
NO1.0,9,AUUC_cr_V1V2(0.5),1145.6695687451208,873.7500000000024,1145.6695687451208
NO2.0,9,AUUC_cr_V1,988.6812710826364,843.7500000000016,988.6812710826364
NO2.0,9,AUUC_cr_V2,1205.5363592905867,843.75,1205.5363592905867
NO2.0,9,AUUC_cr_V1V2(0.5),1097.10881518662,843.7500000000024,1097.10881518662
RAND,10,AUUC_cr_V1,541.5832022741015,562.5000000000009,541.5832022741015
RAND,10,AUUC_cr_V2,541.5832022741015,562.5,541.5832022741015
